pos_ret,neg_ret,sep,case,input,result,result_emojis,model_input,expected,actual
True,False,two underscores,uppercase,aab_cbbbc,f,❌,input/incoder/joined_seq/16.txt,False,None
True,False,two underscores,uppercase,AAB_CBBC,f,❌,input/incoder/joined_seq/16.txt,False,None
True,False,two underscores,uppercase,aab__cbbbc,f,❌,input/incoder/joined_seq/16.txt,False,None
True,False,two underscores,uppercase,AAB__CBBC,f,❌,input/incoder/joined_seq/16.txt,True,None
True,False,two underscores,uppercase,aab______cbbbc,f,❌,input/incoder/joined_seq/16.txt,False,None
True,False,two underscores,uppercase,AAB______CBBC,f,❌,input/incoder/joined_seq/16.txt,False,None
True,False,two underscores,uppercase,aab?cbbbc,f,❌,input/incoder/joined_seq/16.txt,False,None
True,False,two underscores,uppercase,AAB?CBBC,f,❌,input/incoder/joined_seq/16.txt,False,None
True,False,two underscores,uppercase,aab+cbbbc,f,❌,input/incoder/joined_seq/16.txt,False,None
True,False,two underscores,uppercase,AAB+CBBC,f,❌,input/incoder/joined_seq/16.txt,False,None
True,False,two underscores,uppercase,aab-cbbbc,f,❌,input/incoder/joined_seq/16.txt,False,None
True,False,two underscores,uppercase,AAB-CBBC,f,❌,input/incoder/joined_seq/16.txt,False,None
True,False,two underscores,lowercase,aab_cbbbc,f,❌,input/incoder/joined_seq/17.txt,False,True
True,False,two underscores,lowercase,AAB_CBBC,p,✅,input/incoder/joined_seq/17.txt,,
True,False,two underscores,lowercase,aab__cbbbc,f,❌,input/incoder/joined_seq/17.txt,True,False
True,False,two underscores,lowercase,AAB__CBBC,p,✅,input/incoder/joined_seq/17.txt,,
True,False,two underscores,lowercase,aab______cbbbc,p,✅,input/incoder/joined_seq/17.txt,,
True,False,two underscores,lowercase,AAB______CBBC,p,✅,input/incoder/joined_seq/17.txt,,
True,False,two underscores,lowercase,aab?cbbbc,p,✅,input/incoder/joined_seq/17.txt,,
True,False,two underscores,lowercase,AAB?CBBC,p,✅,input/incoder/joined_seq/17.txt,,
True,False,two underscores,lowercase,aab+cbbbc,p,✅,input/incoder/joined_seq/17.txt,,
True,False,two underscores,lowercase,AAB+CBBC,p,✅,input/incoder/joined_seq/17.txt,,
True,False,two underscores,lowercase,aab-cbbbc,p,✅,input/incoder/joined_seq/17.txt,,
True,False,two underscores,lowercase,AAB-CBBC,p,✅,input/incoder/joined_seq/17.txt,,
True,False,six underscores,uppercase,aab_cbbbc,f,❌,input/incoder/joined_seq/18.txt,False,None
True,False,six underscores,uppercase,AAB_CBBC,f,❌,input/incoder/joined_seq/18.txt,False,None
True,False,six underscores,uppercase,aab__cbbbc,f,❌,input/incoder/joined_seq/18.txt,False,None
True,False,six underscores,uppercase,AAB__CBBC,f,❌,input/incoder/joined_seq/18.txt,False,None
True,False,six underscores,uppercase,aab______cbbbc,f,❌,input/incoder/joined_seq/18.txt,False,None
True,False,six underscores,uppercase,AAB______CBBC,f,❌,input/incoder/joined_seq/18.txt,True,None
True,False,six underscores,uppercase,aab?cbbbc,f,❌,input/incoder/joined_seq/18.txt,False,None
True,False,six underscores,uppercase,AAB?CBBC,f,❌,input/incoder/joined_seq/18.txt,False,None
True,False,six underscores,uppercase,aab+cbbbc,f,❌,input/incoder/joined_seq/18.txt,False,None
True,False,six underscores,uppercase,AAB+CBBC,f,❌,input/incoder/joined_seq/18.txt,False,None
True,False,six underscores,uppercase,aab-cbbbc,f,❌,input/incoder/joined_seq/18.txt,False,None
True,False,six underscores,uppercase,AAB-CBBC,f,❌,input/incoder/joined_seq/18.txt,False,None
True,False,six underscores,lowercase,aab_cbbbc,p,✅,input/incoder/joined_seq/19.txt,,
True,False,six underscores,lowercase,AAB_CBBC,p,✅,input/incoder/joined_seq/19.txt,,
True,False,six underscores,lowercase,aab__cbbbc,p,✅,input/incoder/joined_seq/19.txt,,
True,False,six underscores,lowercase,AAB__CBBC,p,✅,input/incoder/joined_seq/19.txt,,
True,False,six underscores,lowercase,aab______cbbbc,f,❌,input/incoder/joined_seq/19.txt,True,False
True,False,six underscores,lowercase,AAB______CBBC,p,✅,input/incoder/joined_seq/19.txt,,
True,False,six underscores,lowercase,aab?cbbbc,p,✅,input/incoder/joined_seq/19.txt,,
True,False,six underscores,lowercase,AAB?CBBC,p,✅,input/incoder/joined_seq/19.txt,,
True,False,six underscores,lowercase,aab+cbbbc,p,✅,input/incoder/joined_seq/19.txt,,
True,False,six underscores,lowercase,AAB+CBBC,p,✅,input/incoder/joined_seq/19.txt,,
True,False,six underscores,lowercase,aab-cbbbc,p,✅,input/incoder/joined_seq/19.txt,,
True,False,six underscores,lowercase,AAB-CBBC,p,✅,input/incoder/joined_seq/19.txt,,
True,False,a minus,uppercase,aab_cbbbc,e,💀,input/incoder/joined_seq/20.txt,,
True,False,a minus,uppercase,AAB_CBBC,e,💀,input/incoder/joined_seq/20.txt,,
True,False,a minus,uppercase,aab__cbbbc,e,💀,input/incoder/joined_seq/20.txt,,
True,False,a minus,uppercase,AAB__CBBC,e,💀,input/incoder/joined_seq/20.txt,,
True,False,a minus,uppercase,aab______cbbbc,e,💀,input/incoder/joined_seq/20.txt,,
True,False,a minus,uppercase,AAB______CBBC,e,💀,input/incoder/joined_seq/20.txt,,
True,False,a minus,uppercase,aab?cbbbc,e,💀,input/incoder/joined_seq/20.txt,,
True,False,a minus,uppercase,AAB?CBBC,e,💀,input/incoder/joined_seq/20.txt,,
True,False,a minus,uppercase,aab+cbbbc,e,💀,input/incoder/joined_seq/20.txt,,
True,False,a minus,uppercase,AAB+CBBC,e,💀,input/incoder/joined_seq/20.txt,,
True,False,a minus,uppercase,aab-cbbbc,e,💀,input/incoder/joined_seq/20.txt,,
True,False,a minus,uppercase,AAB-CBBC,e,💀,input/incoder/joined_seq/20.txt,,
True,False,a minus,lowercase,aab_cbbbc,p,✅,input/incoder/joined_seq/21.txt,,
True,False,a minus,lowercase,AAB_CBBC,p,✅,input/incoder/joined_seq/21.txt,,
True,False,a minus,lowercase,aab__cbbbc,p,✅,input/incoder/joined_seq/21.txt,,
True,False,a minus,lowercase,AAB__CBBC,p,✅,input/incoder/joined_seq/21.txt,,
True,False,a minus,lowercase,aab______cbbbc,p,✅,input/incoder/joined_seq/21.txt,,
True,False,a minus,lowercase,AAB______CBBC,p,✅,input/incoder/joined_seq/21.txt,,
True,False,a minus,lowercase,aab?cbbbc,p,✅,input/incoder/joined_seq/21.txt,,
True,False,a minus,lowercase,AAB?CBBC,p,✅,input/incoder/joined_seq/21.txt,,
True,False,a minus,lowercase,aab+cbbbc,p,✅,input/incoder/joined_seq/21.txt,,
True,False,a minus,lowercase,AAB+CBBC,p,✅,input/incoder/joined_seq/21.txt,,
True,False,a minus,lowercase,aab-cbbbc,p,✅,input/incoder/joined_seq/21.txt,,
True,False,a minus,lowercase,AAB-CBBC,f,❌,input/incoder/joined_seq/21.txt,False,True
True,False,a plus,uppercase,aab_cbbbc,f,❌,input/incoder/joined_seq/22.txt,False,None
True,False,a plus,uppercase,AAB_CBBC,f,❌,input/incoder/joined_seq/22.txt,False,None
True,False,a plus,uppercase,aab__cbbbc,f,❌,input/incoder/joined_seq/22.txt,False,None
True,False,a plus,uppercase,AAB__CBBC,f,❌,input/incoder/joined_seq/22.txt,False,None
True,False,a plus,uppercase,aab______cbbbc,f,❌,input/incoder/joined_seq/22.txt,False,None
True,False,a plus,uppercase,AAB______CBBC,f,❌,input/incoder/joined_seq/22.txt,False,None
True,False,a plus,uppercase,aab?cbbbc,f,❌,input/incoder/joined_seq/22.txt,False,None
True,False,a plus,uppercase,AAB?CBBC,f,❌,input/incoder/joined_seq/22.txt,False,None
True,False,a plus,uppercase,aab+cbbbc,f,❌,input/incoder/joined_seq/22.txt,False,None
True,False,a plus,uppercase,AAB+CBBC,f,❌,input/incoder/joined_seq/22.txt,True,None
True,False,a plus,uppercase,aab-cbbbc,f,❌,input/incoder/joined_seq/22.txt,False,None
True,False,a plus,uppercase,AAB-CBBC,f,❌,input/incoder/joined_seq/22.txt,False,None
True,False,a plus,lowercase,aab_cbbbc,f,❌,input/incoder/joined_seq/23.txt,False,None
True,False,a plus,lowercase,AAB_CBBC,f,❌,input/incoder/joined_seq/23.txt,False,None
True,False,a plus,lowercase,aab__cbbbc,f,❌,input/incoder/joined_seq/23.txt,False,None
True,False,a plus,lowercase,AAB__CBBC,f,❌,input/incoder/joined_seq/23.txt,False,None
True,False,a plus,lowercase,aab______cbbbc,f,❌,input/incoder/joined_seq/23.txt,False,None
True,False,a plus,lowercase,AAB______CBBC,f,❌,input/incoder/joined_seq/23.txt,False,None
True,False,a plus,lowercase,aab?cbbbc,f,❌,input/incoder/joined_seq/23.txt,False,None
True,False,a plus,lowercase,AAB?CBBC,f,❌,input/incoder/joined_seq/23.txt,False,None
True,False,a plus,lowercase,aab+cbbbc,f,❌,input/incoder/joined_seq/23.txt,True,None
True,False,a plus,lowercase,AAB+CBBC,f,❌,input/incoder/joined_seq/23.txt,False,None
True,False,a plus,lowercase,aab-cbbbc,f,❌,input/incoder/joined_seq/23.txt,False,None
True,False,a plus,lowercase,AAB-CBBC,f,❌,input/incoder/joined_seq/23.txt,False,None
True,False,a dash,uppercase,aab_cbbbc,f,❌,input/incoder/joined_seq/24.txt,False,None
True,False,a dash,uppercase,AAB_CBBC,f,❌,input/incoder/joined_seq/24.txt,False,None
True,False,a dash,uppercase,aab__cbbbc,f,❌,input/incoder/joined_seq/24.txt,False,None
True,False,a dash,uppercase,AAB__CBBC,f,❌,input/incoder/joined_seq/24.txt,False,None
True,False,a dash,uppercase,aab______cbbbc,f,❌,input/incoder/joined_seq/24.txt,False,None
True,False,a dash,uppercase,AAB______CBBC,f,❌,input/incoder/joined_seq/24.txt,False,None
True,False,a dash,uppercase,aab?cbbbc,f,❌,input/incoder/joined_seq/24.txt,False,None
True,False,a dash,uppercase,AAB?CBBC,f,❌,input/incoder/joined_seq/24.txt,False,None
True,False,a dash,uppercase,aab+cbbbc,f,❌,input/incoder/joined_seq/24.txt,False,None
True,False,a dash,uppercase,AAB+CBBC,f,❌,input/incoder/joined_seq/24.txt,False,None
True,False,a dash,uppercase,aab-cbbbc,f,❌,input/incoder/joined_seq/24.txt,False,None
True,False,a dash,uppercase,AAB-CBBC,f,❌,input/incoder/joined_seq/24.txt,True,None
True,False,a dash,lowercase,aab_cbbbc,p,✅,input/incoder/joined_seq/25.txt,,
True,False,a dash,lowercase,AAB_CBBC,p,✅,input/incoder/joined_seq/25.txt,,
True,False,a dash,lowercase,aab__cbbbc,p,✅,input/incoder/joined_seq/25.txt,,
True,False,a dash,lowercase,AAB__CBBC,p,✅,input/incoder/joined_seq/25.txt,,
True,False,a dash,lowercase,aab______cbbbc,p,✅,input/incoder/joined_seq/25.txt,,
True,False,a dash,lowercase,AAB______CBBC,p,✅,input/incoder/joined_seq/25.txt,,
True,False,a dash,lowercase,aab?cbbbc,p,✅,input/incoder/joined_seq/25.txt,,
True,False,a dash,lowercase,AAB?CBBC,p,✅,input/incoder/joined_seq/25.txt,,
True,False,a dash,lowercase,aab+cbbbc,p,✅,input/incoder/joined_seq/25.txt,,
True,False,a dash,lowercase,AAB+CBBC,p,✅,input/incoder/joined_seq/25.txt,,
True,False,a dash,lowercase,aab-cbbbc,p,✅,input/incoder/joined_seq/25.txt,,
True,False,a dash,lowercase,AAB-CBBC,p,✅,input/incoder/joined_seq/25.txt,,
True,False,a question mark,uppercase,aab_cbbbc,f,❌,input/incoder/joined_seq/26.txt,False,None
True,False,a question mark,uppercase,AAB_CBBC,f,❌,input/incoder/joined_seq/26.txt,False,None
True,False,a question mark,uppercase,aab__cbbbc,f,❌,input/incoder/joined_seq/26.txt,False,None
True,False,a question mark,uppercase,AAB__CBBC,f,❌,input/incoder/joined_seq/26.txt,False,None
True,False,a question mark,uppercase,aab______cbbbc,f,❌,input/incoder/joined_seq/26.txt,False,None
True,False,a question mark,uppercase,AAB______CBBC,f,❌,input/incoder/joined_seq/26.txt,False,None
True,False,a question mark,uppercase,aab?cbbbc,f,❌,input/incoder/joined_seq/26.txt,False,None
True,False,a question mark,uppercase,AAB?CBBC,f,❌,input/incoder/joined_seq/26.txt,True,None
True,False,a question mark,uppercase,aab+cbbbc,f,❌,input/incoder/joined_seq/26.txt,False,None
True,False,a question mark,uppercase,AAB+CBBC,f,❌,input/incoder/joined_seq/26.txt,False,None
True,False,a question mark,uppercase,aab-cbbbc,f,❌,input/incoder/joined_seq/26.txt,False,None
True,False,a question mark,uppercase,AAB-CBBC,f,❌,input/incoder/joined_seq/26.txt,False,None
True,False,a question mark,lowercase,aab_cbbbc,f,❌,input/incoder/joined_seq/27.txt,False,True
True,False,a question mark,lowercase,AAB_CBBC,p,✅,input/incoder/joined_seq/27.txt,,
True,False,a question mark,lowercase,aab__cbbbc,f,❌,input/incoder/joined_seq/27.txt,False,True
True,False,a question mark,lowercase,AAB__CBBC,p,✅,input/incoder/joined_seq/27.txt,,
True,False,a question mark,lowercase,aab______cbbbc,f,❌,input/incoder/joined_seq/27.txt,False,True
True,False,a question mark,lowercase,AAB______CBBC,p,✅,input/incoder/joined_seq/27.txt,,
True,False,a question mark,lowercase,aab?cbbbc,p,✅,input/incoder/joined_seq/27.txt,,
True,False,a question mark,lowercase,AAB?CBBC,p,✅,input/incoder/joined_seq/27.txt,,
True,False,a question mark,lowercase,aab+cbbbc,f,❌,input/incoder/joined_seq/27.txt,False,True
True,False,a question mark,lowercase,AAB+CBBC,p,✅,input/incoder/joined_seq/27.txt,,
True,False,a question mark,lowercase,aab-cbbbc,f,❌,input/incoder/joined_seq/27.txt,False,True
True,False,a question mark,lowercase,AAB-CBBC,p,✅,input/incoder/joined_seq/27.txt,,
False,True,an underscore,uppercase,aab_cbbbc,p,✅,input/incoder/joined_seq/28.txt,,
False,True,an underscore,uppercase,AAB_CBBC,p,✅,input/incoder/joined_seq/28.txt,,
False,True,an underscore,uppercase,aab__cbbbc,p,✅,input/incoder/joined_seq/28.txt,,
False,True,an underscore,uppercase,AAB__CBBC,f,❌,input/incoder/joined_seq/28.txt,True,False
False,True,an underscore,uppercase,aab______cbbbc,p,✅,input/incoder/joined_seq/28.txt,,
False,True,an underscore,uppercase,AAB______CBBC,f,❌,input/incoder/joined_seq/28.txt,True,False
False,True,an underscore,uppercase,aab?cbbbc,p,✅,input/incoder/joined_seq/28.txt,,
False,True,an underscore,uppercase,AAB?CBBC,f,❌,input/incoder/joined_seq/28.txt,True,False
False,True,an underscore,uppercase,aab+cbbbc,p,✅,input/incoder/joined_seq/28.txt,,
False,True,an underscore,uppercase,AAB+CBBC,f,❌,input/incoder/joined_seq/28.txt,True,False
False,True,an underscore,uppercase,aab-cbbbc,p,✅,input/incoder/joined_seq/28.txt,,
False,True,an underscore,uppercase,AAB-CBBC,f,❌,input/incoder/joined_seq/28.txt,True,False
False,True,an underscore,lowercase,aab_cbbbc,f,❌,input/incoder/joined_seq/29.txt,False,None
False,True,an underscore,lowercase,AAB_CBBC,f,❌,input/incoder/joined_seq/29.txt,True,None
False,True,an underscore,lowercase,aab__cbbbc,f,❌,input/incoder/joined_seq/29.txt,True,None
False,True,an underscore,lowercase,AAB__CBBC,f,❌,input/incoder/joined_seq/29.txt,True,None
False,True,an underscore,lowercase,aab______cbbbc,f,❌,input/incoder/joined_seq/29.txt,True,None
False,True,an underscore,lowercase,AAB______CBBC,f,❌,input/incoder/joined_seq/29.txt,True,None
False,True,an underscore,lowercase,aab?cbbbc,f,❌,input/incoder/joined_seq/29.txt,True,None
False,True,an underscore,lowercase,AAB?CBBC,f,❌,input/incoder/joined_seq/29.txt,True,None
False,True,an underscore,lowercase,aab+cbbbc,f,❌,input/incoder/joined_seq/29.txt,True,None
False,True,an underscore,lowercase,AAB+CBBC,f,❌,input/incoder/joined_seq/29.txt,True,None
False,True,an underscore,lowercase,aab-cbbbc,f,❌,input/incoder/joined_seq/29.txt,True,None
False,True,an underscore,lowercase,AAB-CBBC,f,❌,input/incoder/joined_seq/29.txt,True,None
False,True,two underscores,uppercase,aab_cbbbc,p,✅,input/incoder/joined_seq/30.txt,,
False,True,two underscores,uppercase,AAB_CBBC,f,❌,input/incoder/joined_seq/30.txt,True,False
False,True,two underscores,uppercase,aab__cbbbc,p,✅,input/incoder/joined_seq/30.txt,,
False,True,two underscores,uppercase,AAB__CBBC,p,✅,input/incoder/joined_seq/30.txt,,
False,True,two underscores,uppercase,aab______cbbbc,p,✅,input/incoder/joined_seq/30.txt,,
False,True,two underscores,uppercase,AAB______CBBC,f,❌,input/incoder/joined_seq/30.txt,True,False
False,True,two underscores,uppercase,aab?cbbbc,p,✅,input/incoder/joined_seq/30.txt,,
False,True,two underscores,uppercase,AAB?CBBC,f,❌,input/incoder/joined_seq/30.txt,True,False
False,True,two underscores,uppercase,aab+cbbbc,p,✅,input/incoder/joined_seq/30.txt,,
False,True,two underscores,uppercase,AAB+CBBC,f,❌,input/incoder/joined_seq/30.txt,True,False
False,True,two underscores,uppercase,aab-cbbbc,p,✅,input/incoder/joined_seq/30.txt,,
False,True,two underscores,uppercase,AAB-CBBC,f,❌,input/incoder/joined_seq/30.txt,True,False
False,True,two underscores,lowercase,aab_cbbbc,f,❌,input/incoder/joined_seq/31.txt,True,False
False,True,two underscores,lowercase,AAB_CBBC,f,❌,input/incoder/joined_seq/31.txt,True,False
False,True,two underscores,lowercase,aab__cbbbc,p,✅,input/incoder/joined_seq/31.txt,,
False,True,two underscores,lowercase,AAB__CBBC,f,❌,input/incoder/joined_seq/31.txt,True,False
False,True,two underscores,lowercase,aab______cbbbc,f,❌,input/incoder/joined_seq/31.txt,True,False
False,True,two underscores,lowercase,AAB______CBBC,f,❌,input/incoder/joined_seq/31.txt,True,False
False,True,two underscores,lowercase,aab?cbbbc,f,❌,input/incoder/joined_seq/31.txt,True,False
False,True,two underscores,lowercase,AAB?CBBC,f,❌,input/incoder/joined_seq/31.txt,True,False
False,True,two underscores,lowercase,aab+cbbbc,f,❌,input/incoder/joined_seq/31.txt,True,False
False,True,two underscores,lowercase,AAB+CBBC,f,❌,input/incoder/joined_seq/31.txt,True,False
False,True,two underscores,lowercase,aab-cbbbc,f,❌,input/incoder/joined_seq/31.txt,True,False
False,True,two underscores,lowercase,AAB-CBBC,f,❌,input/incoder/joined_seq/31.txt,True,False
False,True,six underscores,uppercase,aab_cbbbc,f,❌,input/incoder/joined_seq/32.txt,True,None
False,True,six underscores,uppercase,AAB_CBBC,f,❌,input/incoder/joined_seq/32.txt,True,None
False,True,six underscores,uppercase,aab__cbbbc,f,❌,input/incoder/joined_seq/32.txt,True,None
False,True,six underscores,uppercase,AAB__CBBC,f,❌,input/incoder/joined_seq/32.txt,True,None
False,True,six underscores,uppercase,aab______cbbbc,f,❌,input/incoder/joined_seq/32.txt,True,None
False,True,six underscores,uppercase,AAB______CBBC,f,❌,input/incoder/joined_seq/32.txt,False,None
False,True,six underscores,uppercase,aab?cbbbc,f,❌,input/incoder/joined_seq/32.txt,True,None
False,True,six underscores,uppercase,AAB?CBBC,f,❌,input/incoder/joined_seq/32.txt,True,None
False,True,six underscores,uppercase,aab+cbbbc,f,❌,input/incoder/joined_seq/32.txt,True,None
False,True,six underscores,uppercase,AAB+CBBC,f,❌,input/incoder/joined_seq/32.txt,True,None
False,True,six underscores,uppercase,aab-cbbbc,f,❌,input/incoder/joined_seq/32.txt,True,None
False,True,six underscores,uppercase,AAB-CBBC,f,❌,input/incoder/joined_seq/32.txt,True,None
False,True,six underscores,lowercase,aab_cbbbc,p,✅,input/incoder/joined_seq/33.txt,,
False,True,six underscores,lowercase,AAB_CBBC,p,✅,input/incoder/joined_seq/33.txt,,
False,True,six underscores,lowercase,aab__cbbbc,p,✅,input/incoder/joined_seq/33.txt,,
False,True,six underscores,lowercase,AAB__CBBC,p,✅,input/incoder/joined_seq/33.txt,,
False,True,six underscores,lowercase,aab______cbbbc,f,❌,input/incoder/joined_seq/33.txt,False,True
False,True,six underscores,lowercase,AAB______CBBC,p,✅,input/incoder/joined_seq/33.txt,,
False,True,six underscores,lowercase,aab?cbbbc,p,✅,input/incoder/joined_seq/33.txt,,
False,True,six underscores,lowercase,AAB?CBBC,p,✅,input/incoder/joined_seq/33.txt,,
False,True,six underscores,lowercase,aab+cbbbc,p,✅,input/incoder/joined_seq/33.txt,,
False,True,six underscores,lowercase,AAB+CBBC,p,✅,input/incoder/joined_seq/33.txt,,
False,True,six underscores,lowercase,aab-cbbbc,p,✅,input/incoder/joined_seq/33.txt,,
False,True,six underscores,lowercase,AAB-CBBC,p,✅,input/incoder/joined_seq/33.txt,,
False,True,a minus,uppercase,aab_cbbbc,f,❌,input/incoder/joined_seq/34.txt,True,False
False,True,a minus,uppercase,AAB_CBBC,f,❌,input/incoder/joined_seq/34.txt,True,False
False,True,a minus,uppercase,aab__cbbbc,f,❌,input/incoder/joined_seq/34.txt,True,False
False,True,a minus,uppercase,AAB__CBBC,f,❌,input/incoder/joined_seq/34.txt,True,False
False,True,a minus,uppercase,aab______cbbbc,f,❌,input/incoder/joined_seq/34.txt,True,False
False,True,a minus,uppercase,AAB______CBBC,f,❌,input/incoder/joined_seq/34.txt,True,False
False,True,a minus,uppercase,aab?cbbbc,f,❌,input/incoder/joined_seq/34.txt,True,False
False,True,a minus,uppercase,AAB?CBBC,f,❌,input/incoder/joined_seq/34.txt,True,False
False,True,a minus,uppercase,aab+cbbbc,f,❌,input/incoder/joined_seq/34.txt,True,False
False,True,a minus,uppercase,AAB+CBBC,f,❌,input/incoder/joined_seq/34.txt,True,False
False,True,a minus,uppercase,aab-cbbbc,f,❌,input/incoder/joined_seq/34.txt,True,False
False,True,a minus,uppercase,AAB-CBBC,p,✅,input/incoder/joined_seq/34.txt,,
False,True,a minus,lowercase,aab_cbbbc,f,❌,input/incoder/joined_seq/35.txt,True,False
False,True,a minus,lowercase,AAB_CBBC,f,❌,input/incoder/joined_seq/35.txt,True,False
False,True,a minus,lowercase,aab__cbbbc,f,❌,input/incoder/joined_seq/35.txt,True,False
False,True,a minus,lowercase,AAB__CBBC,f,❌,input/incoder/joined_seq/35.txt,True,False
False,True,a minus,lowercase,aab______cbbbc,f,❌,input/incoder/joined_seq/35.txt,True,False
False,True,a minus,lowercase,AAB______CBBC,f,❌,input/incoder/joined_seq/35.txt,True,False
False,True,a minus,lowercase,aab?cbbbc,f,❌,input/incoder/joined_seq/35.txt,True,False
False,True,a minus,lowercase,AAB?CBBC,f,❌,input/incoder/joined_seq/35.txt,True,False
False,True,a minus,lowercase,aab+cbbbc,f,❌,input/incoder/joined_seq/35.txt,True,False
False,True,a minus,lowercase,AAB+CBBC,f,❌,input/incoder/joined_seq/35.txt,True,False
False,True,a minus,lowercase,aab-cbbbc,f,❌,input/incoder/joined_seq/35.txt,False,True
False,True,a minus,lowercase,AAB-CBBC,f,❌,input/incoder/joined_seq/35.txt,True,False
False,True,a plus,uppercase,aab_cbbbc,p,✅,input/incoder/joined_seq/36.txt,,
False,True,a plus,uppercase,AAB_CBBC,p,✅,input/incoder/joined_seq/36.txt,,
False,True,a plus,uppercase,aab__cbbbc,p,✅,input/incoder/joined_seq/36.txt,,
False,True,a plus,uppercase,AAB__CBBC,p,✅,input/incoder/joined_seq/36.txt,,
False,True,a plus,uppercase,aab______cbbbc,p,✅,input/incoder/joined_seq/36.txt,,
False,True,a plus,uppercase,AAB______CBBC,p,✅,input/incoder/joined_seq/36.txt,,
False,True,a plus,uppercase,aab?cbbbc,p,✅,input/incoder/joined_seq/36.txt,,
False,True,a plus,uppercase,AAB?CBBC,p,✅,input/incoder/joined_seq/36.txt,,
False,True,a plus,uppercase,aab+cbbbc,p,✅,input/incoder/joined_seq/36.txt,,
False,True,a plus,uppercase,AAB+CBBC,p,✅,input/incoder/joined_seq/36.txt,,
False,True,a plus,uppercase,aab-cbbbc,p,✅,input/incoder/joined_seq/36.txt,,
False,True,a plus,uppercase,AAB-CBBC,p,✅,input/incoder/joined_seq/36.txt,,
False,True,a plus,lowercase,aab_cbbbc,f,❌,input/incoder/joined_seq/37.txt,True,False
False,True,a plus,lowercase,AAB_CBBC,f,❌,input/incoder/joined_seq/37.txt,True,False
False,True,a plus,lowercase,aab__cbbbc,f,❌,input/incoder/joined_seq/37.txt,True,False
False,True,a plus,lowercase,AAB__CBBC,f,❌,input/incoder/joined_seq/37.txt,True,False
False,True,a plus,lowercase,aab______cbbbc,f,❌,input/incoder/joined_seq/37.txt,True,False
False,True,a plus,lowercase,AAB______CBBC,f,❌,input/incoder/joined_seq/37.txt,True,False
False,True,a plus,lowercase,aab?cbbbc,f,❌,input/incoder/joined_seq/37.txt,True,False
False,True,a plus,lowercase,AAB?CBBC,f,❌,input/incoder/joined_seq/37.txt,True,False
False,True,a plus,lowercase,aab+cbbbc,p,✅,input/incoder/joined_seq/37.txt,,
False,True,a plus,lowercase,AAB+CBBC,f,❌,input/incoder/joined_seq/37.txt,True,False
False,True,a plus,lowercase,aab-cbbbc,f,❌,input/incoder/joined_seq/37.txt,True,False
False,True,a plus,lowercase,AAB-CBBC,f,❌,input/incoder/joined_seq/37.txt,True,False
False,True,a dash,uppercase,aab_cbbbc,f,❌,input/incoder/joined_seq/38.txt,True,None
False,True,a dash,uppercase,AAB_CBBC,f,❌,input/incoder/joined_seq/38.txt,True,None
False,True,a dash,uppercase,aab__cbbbc,f,❌,input/incoder/joined_seq/38.txt,True,None
